Barcode,Name,Library,File1,File2,Dataset
A34002,CEMT0007.MCF10A,A34002,/fq/Bisulfite-Seq.A34002.137160.C2MEJACXX.7.1.fastq.gz,/fq/Bisulfite-Seq.A34002.137160.C2MEJACXX.7.2.fastq.gz,MCF10A-1
A34002,CEMT0007.MCF10A,A34002,/fq/Bisulfite-Seq.A34002.137487.C2RT2ACXX.1.1.fastq.gz,/fq/Bisulfite-Seq.A34002.137487.C2RT2ACXX.1.2.fastq.gz,MCF10A-2
A34002,CEMT0007.MCF10A,A34002,/fq/Bisulfite-Seq.A34002.137488.C2RT2ACXX.2.1.fastq.gz,/fq/Bisulfite-Seq.A34002.137488.C2RT2ACXX.2.2.fastq.gz,MCF10A-3
